,Sale_price,Subtype,Immo_code
0,"€249,000",House,9943915
1,"€370,000",House,9943568
2,"€455,000",House,9944984
3,"€640,000",Apartment,9945416
4,"€229,000",House,9941464
5,"€370,000 - €375,000",New,9942463
6,"€370,000",Apartment,9941435
7,"€399,000",House,9941373
8,"€524,500",Villa,9867538
9,"€2,915,000 - €3,140,000",STEREA,9941053
10,"€159,900",House,9939016
11,"€306,532 - €325,846",Rue,9896009
12,"€950,000",House,9939243
13,"€1,150,000",Villa,9938906
14,"€385,000",House,9936766
15,"€595,000",Villa,9880789
16,"€199,000",House,9943704
17,"€210,000",House,9944287
18,"€249,000",House,9943794
19,"€279,000",Villa,9943555
20,"€349,000",Bungalow,9943556
21,"€369,000",House,9943796
22,"€395,000",House,9943572
23,"€590,000",Villa,9935270
24,"€849,000",House,9935486
25,"€30,000 + €580/month",Town-house,9941095
26,"€149,500",House,9941765
27,"€319,000",House,9942668
28,"€370,000",House,9941998
29,"€370,000",House,9941997
30,"€210,000",House,9684939
31,"€348,000",House,9946231
32,"€238,000",House,9946230
33,"€695,000",Apartment,9946229
34,"€140,000",Triplex,9946225
35,"€250,000",House,9946224
36,"€245,000",Apartment,9896480
37,"€425,000",Chalet,9946219
38,"€249,000",House,9943915
39,"€370,000",House,9943568
40,"€455,000",House,9944984
41,"€640,000",Apartment,9945416
42,"€229,000",House,9941464
43,"€370,000 - €375,000",New,9942463
44,"€370,000",Apartment,9941435
45,"€399,000",House,9941373
46,"€524,500",Villa,9867538
47,"€2,915,000 - €3,140,000",STEREA,9941053
48,"€159,900",House,9939016
49,"€306,532 - €325,846",Rue,9896009
50,"€950,000",House,9939243
